x y S
0.0 0.0 38
0.0 0.0 65
0.0 0.0 83
0.0 0.0 31
0.0 0.0 97
1751.9074389823468 -2710.4919909777277 5
0.0 0.0 55
76.1828965731124 3247.895683142242 49
1847.9138172305964 -3237.82717421041 32
54.88445360800815 4119.136756669007 43
2115.1604412991887 -3774.247427793215 2
0.0 0.0 4
1557.3232134502414 -2923.4291786384933 8
36.65710299314866 3381.4016892652658 89
1710.1221077445623 2391.008341061301 24
1681.2290727287807 2031.799694648718 86
1638.6382271046816 1981.197007349778 71
1630.3547971281055 1641.1063468457583 76
0.0 0.0 17
1608.3235650219196 1564.4690369842372 98
0.0 0.0 34
1390.3627098756947 1589.8547763820904 82
1564.292998738056 1512.863321447714 63
1451.3152406344645 807.0048626074988 82
0.0 0.0 12
1442.271755193159 821.5334937595713 65
0.0 0.0 73
0.0 0.0 15
0.0 0.0 68
1077.7937116286207 747.3587773878144 26
1189.4505245407454 721.4762021660862 98
1384.7481829500177 472.4326116188916 59
1358.876317055716 325.7875485784916 65
589.0749083911693 -20.742820322184542 21
635.1577592857601 42.8918907804902 73
631.7167578333969 131.07813339797386 85
0.0 0.0 40
0.0 0.0 7
0.0 0.0 8
1381.1821785844925 377.24480103455926 31
1417.6084201794627 542.3657480874147 96
1433.804597873128 708.8079761564286 40
590.7856435516622 158.7777816294168 86
590.5861740943426 -77.73056928272025 57
1152.9279389051626 -9.519898467980374 74
1388.726613800706 -295.7321744750548 77
1354.797869095817 -487.5332273031149 30
561.5525273706976 -778.6535662980097 76
0.0 0.0 94
0.0 0.0 97
611.055761737276 -797.3974619348459 80
1039.5504029077024 -508.4180508711801 10
1427.1015462484509 -390.44694747358574 58
1366.5117850977933 -239.91508131178645 21
882.372664613835 7.491279090303473 61
0.0 0.0 45
0.0 0.0 20
601.4897438477038 -840.5605693142387 28
960.1205709582907 -856.9080064779623 9
1665.4479274603098 -1549.3805852882126 95
545.9797165916458 -830.1993632732276 97
0.0 0.0 67
0.0 0.0 27
0.0 0.0 25
1019.3483826073303 -1595.2183802157363 38
1144.6492771255248 -1635.19645824268 21
1509.9107791135598 -1970.9049264059677 33
1502.7707936340453 -2237.194806249073 36
1530.2250175238987 -2774.9172922353646 55
638.2266895341452 1486.8800210238207 6
1527.268276575578 -2890.348168405854 93
1517.049213743358 -3036.595775740838 49
0.0 0.0 76
-92.12305817957245 2723.1702969170933 52
-85.92195773648533 2841.5365028623023 22
0.0 0.0 24
-55.93771437746584 2683.417801187377 54
-35.40588729604628 2565.830380441188 31
598.6882411134562 2443.593500614077 2
850.5375081821486 2232.823811589799 31
0.0 0.0 74
0.0 0.0 78
0.0 0.0 63
0.0 0.0 79
-184.43681606261654 1656.5051921656834 40
242.1324082844562 1628.0979908149611 74
377.4817991913774 1682.7868175831886 49
358.9905183599972 1753.293687621283 42
817.0649732136169 1452.859053052563 95
709.6535442648474 1006.9514624023922 51
-85.04209413315402 1004.6764095237594 1
0.0 0.0 47
0.0 0.0 28
0.0 0.0 60
-218.08794319767745 1614.591683104536 71
-112.9602620236031 1047.808908244082 35
76.52001000572417 684.2433107392948 43
356.03378385906296 730.0211941966196 24
484.3464710924897 804.8432887674492 42
0.0 0.0 72
562.6290729619967 40.67181373190599 70
-133.9447152671459 -61.94268891796703 53
0.0 0.0 17
0.0 0.0 33
0.0 0.0 42
569.7856114374524 20.770164953108992 32
557.4936485799217 129.1892637228294 67
619.5049242135883 266.92159477572665 57
0.0 0.0 30
0.0 0.0 63
0.0 0.0 22
541.2084111469816 -22.10061642350752 13
67.85689167507923 -114.16040066569983 84
224.25107247334708 -82.55017624164891 13
317.5864265931568 -50.4517660039147 87
562.4776506583764 -344.96591114407454 70
579.8892911581622 -394.46254324774503 70
524.8762675315149 -588.3221087270788 15
514.2807310370184 -804.8112028732747 98
0.0 0.0 51
0.0 0.0 98
106.28275704423953 -300.43761560674926 74
558.6239994308115 -67.36029295241586 5
-153.267614430055 -115.267308968358 64
165.79326651509922 -113.55427708067144 49
-214.99572749186103 -804.1792716121067 25
0.0 0.0 90
0.0 0.0 85
-227.13434881235696 -851.0230012277209 3
23.80654205319305 -850.4208333834262 8
510.20642432845125 -832.9315182047926 24
0.0 0.0 84
0.0 0.0 57
0.0 0.0 60
0.0 0.0 51
0.0 0.0 88
-58.25285150434158 -1675.8432390855835 57
281.47261506799464 -1681.620658915055 97
0.0 0.0 95
0.0 0.0 94
296.26979344607344 -1664.991532810635 81
526.2544387917796 -2655.8400645271195 63
636.8369151263239 -2863.765107117198 97
0.0 0.0 83
523.1997179286122 -2667.063732316859 83
0.0 0.0 18
745.3113709716293 -3764.0337644789074 61
723.599940714462 -3647.6533588048346 39
887.686400120739 -4474.1646039103625 81
-77.91414669406767 2645.135760628184 41
0.0 0.0 59
-122.59577704545268 2800.765244466636 44
-578.313712642379 2586.450167677997 30
-116.842871265198 2587.163009117688 87
0.0 0.0 97
-259.57466148168396 1628.4039271007844 81
0.0 0.0 65
0.0 0.0 47
0.0 0.0 88
-703.5065525061298 1663.9671592643138 44
-347.7668769151844 1583.0968212483656 17
-255.2208925614675 1556.441088479584 8
0.0 0.0 59
0.0 0.0 54
0.0 0.0 89
-158.5104133778486 1037.1067107906645 68
0.0 0.0 2
-585.4354952894568 711.7150505043093 95
-335.4515546118678 732.824525569698 70
-136.12840652364835 644.3562052371632 33
-144.49091320493233 216.11116004039255 95
-902.5949093401003 -17.49827065543304 74
0.0 0.0 5
0.0 0.0 81
-191.59745594349212 -75.92164702180158 4
-894.0389658604296 710.8387183406528 87
0.0 0.0 59
0.0 0.0 66
-710.5301076374337 -45.628799084330495 62
-464.0573647397972 -53.15141535177345 59
-267.4302077200211 -51.929233947204466 36
-182.31009222147648 -261.4226209273393 28
-153.3455642798636 -353.53908083963864 20
-206.55495936111356 -465.77652784416364 78
0.0 0.0 19
-936.3989854751985 -59.28084332875983 55
0.0 0.0 41
-822.5451651727881 -727.0052352663265 13
-171.6960149951603 -94.32515074915754 58
-864.6765542802352 -721.4362595678099 81
-274.9954501636807 -819.8743721136136 44
-940.0501325420515 -723.4128481745885 91
0.0 0.0 80
0.0 0.0 22
-890.4561555164133 -771.4541580116618 63
-494.4795758306071 -756.339272194471 30
-277.7897618461545 -841.2084578021586 10
-289.77083718099703 -1031.1040574065605 44
-252.65986031053995 -1606.7423460095035 80
