x y S
-952.8245400682481 -763.0629377670089 75
-318.43475841585195 -1692.3613756254558 17
0.0 0.0 36
-850.0422702248118 -778.0551147166861 75
-417.2475422794292 -1816.3626929731938 72
-1347.30628295055 -2509.5225309809666 90
0.0 0.0 57
0.0 0.0 22
-1318.1143812071364 -2508.904704460674 44
-725.3940617635623 -2158.2454732241654 51
0.0 0.0 22
-1369.5825158768046 -2552.293196558596 77
-850.3972068809236 -2667.8983659681403 91
